Run,Amp,Conc (fg/ul),CT
8,4,1.00E+05,11.731
8,4,1.00E+04,14.602
8,4,1.00E+04,14.843
8,4,1.00E+03,19.568
8,4,1.00E+03,19.809
8,4,1.00E+02,21.410
8,4,1.00E+02,21.648
8,4,1.00E+01,25.357
8,4,1.00E+01,25.579
8,4,0.00E+00,0
8,5,1.00E+05,12.481
8,5,1.00E+05,12.681
8,5,1.00E+04,16.072
8,5,1.00E+04,16.174
8,5,1.00E+03,19.346
8,5,1.00E+03,19.176
8,5,1.00E+02,22.593
8,5,1.00E+02,22.782
8,5,1.00E+01,25.381
8,5,1.00E+01,25.693
8,5,0.00E+00,Undetermined
8,5,0.00E+00,Undetermined
8,7,1.00E+05,12.769
8,7,1.00E+05,12.562
8,7,1.00E+04,16.156
8,7,1.00E+04,16.132
8,7,1.00E+03,19.279
8,7,1.00E+03,19.214
8,7,1.00E+02,22.730
8,7,1.00E+02,22.717
8,7,1.00E+01,25.846
8,7,1.00E+01,25.571
8,7,0.00E+00,Undetermined
8,7,0.00E+00,Undetermined
8,10,1.00E+05,12.982
8,10,1.00E+05,13.197
8,10,1.00E+04,16.461
8,10,1.00E+04,16.707
8,10,1.00E+03,19.553
8,10,1.00E+03,19.768
8,10,1.00E+02,22.905
8,10,1.00E+02,23.224
8,10,1.00E+01,25.850
8,10,1.00E+01,26.069
8,10,0.00E+00,Undetermined
8,10,0.00E+00,37.283
9,2,1.00E+05,12.807
9,2,1.00E+05,13.177
9,2,1.00E+04,16.675
9,2,1.00E+04,16.943
9,2,1.00E+03,20.827
9,2,1.00E+03,20.984
9,2,1.00E+02,24.109
9,2,1.00E+02,24.297
9,2,1.00E+01,26.734
9,2,1.00E+01,27.053
9,2,0.00E+00,0
9,2,0.00E+00,0
9,4,1.00E+05,12.754
9,4,1.00E+05,12.657
9,4,1.00E+04,16.521
9,4,1.00E+04,16.487
9,4,1.00E+03,20.668
9,4,1.00E+03,20.613
9,4,1.00E+02,23.971
9,4,1.00E+02,23.926
9,4,1.00E+01,26.599
9,4,1.00E+01,26.626
9,4,0.00E+00,0
9,4,0.00E+00,0
9,5,1.00E+05,12.729
9,5,1.00E+05,12.823
9,5,1.00E+04,16.595
9,5,1.00E+04,16.891
9,5,1.00E+03,20.677
9,5,1.00E+03,21.000
9,5,1.00E+02,24.065
9,5,1.00E+02,24.246
9,5,1.00E+01,26.797
9,5,1.00E+01,26.936
9,5,0.00E+00,0
9,5,0.00E+00,0
9,7,1.00E+05,11.745
9,7,1.00E+05,12.057
9,7,1.00E+04,15.527
9,7,1.00E+04,15.753
9,7,1.00E+03,19.360
9,7,1.00E+03,19.548
9,7,1.00E+02,22.216
9,7,1.00E+02,22.515
9,7,1.00E+01,25.645
9,7,1.00E+01,25.943
9,7,0.00E+00,0
9,7,0.00E+00,0
9,10,1.00E+05,12.371
9,10,1.00E+05,12.627
9,10,1.00E+04,16.129
9,10,1.00E+04,16.330
9,10,1.00E+03,19.837
9,10,1.00E+03,20.096
9,10,1.00E+02,22.689
9,10,1.00E+02,22.908
9,10,1.00E+01,26.108
9,10,1.00E+01,26.432
9,10,0.00E+00,0
9,10,0.00E+00,0
10,2,1.00E+05,13.919
10,2,1.00E+05,14.146
10,2,1.00E+04,17.902
10,2,1.00E+04,18.117
10,2,1.00E+03,20.658
10,2,1.00E+03,20.988
10,2,1.00E+02,24.270
10,2,1.00E+02,24.526
10,2,1.00E+01,27.995
10,2,1.00E+01,28.129
10,2,0.00E+00,Undetermined
10,2,0.00E+00,Undetermined
10,4,1.00E+05,13.673
10,4,1.00E+05,13.658
10,4,1.00E+04,17.717
10,4,1.00E+04,17.591
10,4,1.00E+03,20.541
10,4,1.00E+03,20.454
10,4,1.00E+02,23.998
10,4,1.00E+02,23.984
10,4,1.00E+01,27.688
10,4,1.00E+01,27.660
10,4,0.00E+00,Undetermined
10,4,0.00E+00,Undetermined
10,5,1.00E+05,13.778
10,5,1.00E+05,13.757
10,5,1.00E+04,17.816
10,5,1.00E+04,17.798
10,5,1.00E+03,20.642
10,5,1.00E+03,20.552
10,5,1.00E+02,24.191
10,5,1.00E+02,24.144
10,5,1.00E+01,27.951
10,5,1.00E+01,27.906
10,5,0.00E+00,Undetermined
10,5,0.00E+00,Undetermined
10,7,1.00E+05,13.817
10,7,1.00E+05,13.711
10,7,1.00E+04,17.845
10,7,1.00E+04,17.777
10,7,1.00E+03,20.696
10,7,1.00E+03,20.608
10,7,1.00E+02,24.247
10,7,1.00E+02,24.228
10,7,1.00E+01,27.970
10,7,1.00E+01,27.928
10,7,0.00E+00,Undetermined
10,7,0.00E+00,Undetermined
10,10,1.00E+05,14.082
10,10,1.00E+05,14.274
10,10,1.00E+04,18.156
10,10,1.00E+04,18.363
10,10,1.00E+03,20.906
10,10,1.00E+03,21.224
10,10,1.00E+02,24.427
10,10,1.00E+02,24.718
10,10,1.00E+01,28.162
10,10,1.00E+01,28.353
10,10,0.00E+00,Undetermined
10,10,0.00E+00,Undetermined
11,2,1.00E+05,13.977
11,2,1.00E+05,14.072
11,2,1.00E+04,18.689
11,2,1.00E+04,18.392
11,2,1.00E+03,21.333
11,2,1.00E+03,21.510
11,2,1.00E+02,25.379
11,2,1.00E+02,25.239
11,2,1.00E+01,28.841
11,2,1.00E+01,27.868
11,2,0.00E+00,Undetermined
11,2,0.00E+00,Undetermined
11,4,1.00E+05,13.704
11,4,1.00E+05,13.648
11,4,1.00E+04,18.208
11,4,1.00E+04,18.095
11,4,1.00E+03,21.026
11,4,1.00E+03,21.038
11,4,1.00E+02,24.879
11,4,1.00E+02,24.901
11,4,1.00E+01,27.913
11,4,1.00E+01,27.930
11,4,0.00E+00,Undetermined
11,4,0.00E+00,Undetermined
11,5,1.00E+05,13.865
11,5,1.00E+05,14.131
11,5,1.00E+04,18.321
11,5,1.00E+04,18.496
11,5,1.00E+03,21.209
11,5,1.00E+03,21.531
11,5,1.00E+02,25.209
11,5,1.00E+02,25.058
11,5,1.00E+01,28.105
11,5,1.00E+01,28.318
11,5,0.00E+00,Undetermined
11,5,0.00E+00,Undetermined
11,7,1.00E+05,12.075
11,7,1.00E+05,12.068
11,7,1.00E+03,21.512
11,7,1.00E+03,23.374
11,7,1.00E+01,26.327
11,7,1.00E+01,26.290
11,7,1.00E+00,29.109
11,7,1.00E+00,28.736
11,7,1.00E-01,33.490
11,7,1.00E-01,33.276
11,7,0.00E+00,Undetermined
11,7,0.00E+00,Undetermined
11,10,1.00E+05,12.293
11,10,1.00E+05,12.211
11,10,1.00E+04,18.253
11,10,1.00E+04,18.177
11,10,1.00E+02,23.377
11,10,1.00E+02,23.329
11,10,1.00E+01,26.481
11,10,1.00E+01,26.365
11,10,1.00E+00,29.063
11,10,1.00E+00,28.753
11,10,0.00E+00,Undetermined
11,10,0.00E+00,Undetermined
